word,f_l1,f_l2,f_l3,f_l4,f_l5,,,,
aahed,596,1959,111,2009,705,,,,
aalii,596,1959,736,722,269,,,,
aargh,596,1959,1035,347,231,,,,
aarti,596,1959,1035,759,269,,,,
abaca,596,65,929,259,616,,,,
abaci,596,65,929,259,269,,,,
abacs,596,65,929,259,3922,,,,
abaft,596,65,929,198,474,,,,
abaka,596,65,929,448,616,,,,
abamp,596,65,929,334,91,,,,
aband,596,65,929,606,705,,,,
abash,596,65,929,345,231,,,,
abask,596,65,929,345,146,,,,
abaya,596,65,929,105,616,,,,
abbas,596,65,278,911,3922,,,,
abbed,596,65,278,2009,705,,,,
abbes,596,65,278,2009,3922,,,,
abcee,596,65,336,2009,1098,,,,
abeam,596,65,705,911,140,,,,
abear,596,65,705,911,461,,,,
abele,596,65,705,609,1098,,,,
abers,596,65,705,567,3922,,,,
abets,596,65,705,759,3922,,,,
abies,596,65,785,2009,3922,,,,
abler,596,65,736,2009,461,,,,
ables,596,65,736,2009,3922,,,,
ablet,596,65,736,2009,474,,,,
ablow,596,65,736,566,47,,,,
abmho,596,65,450,207,331,,,,
abohm,596,65,749,207,140,,,,
aboil,596,65,749,722,320,,,,
aboma,596,65,749,334,616,,,,
aboon,596,65,749,566,400,,,,
abord,596,65,749,567,705,,,,
abore,596,65,749,567,1098,,,,
abram,596,65,1035,911,140,,,,
abray,596,65,1035,911,937,,,,
abrim,596,65,1035,722,140,,,,
abrin,596,65,1035,722,400,,,,
abris,596,65,1035,722,3922,,,,
absey,596,65,453,2009,937,,,,
absit,596,65,453,722,474,,,,
abuna,596,65,502,606,616,,,,
abune,596,65,502,606,1098,,,,
abuts,596,65,502,759,3922,,,,
abuzz,596,65,502,106,28,,,,
abyes,596,65,184,2009,3922,,,,
abysm,596,65,184,345,140,,,,
acais,596,136,929,722,3922,,,,
acari,596,136,929,567,269,,,,
accas,596,136,336,911,3922,,,,
accoy,596,136,336,566,937,,,,
acerb,596,136,705,567,48,,,,
acers,596,136,705,567,3922,,,,
aceta,596,136,705,759,616,,,,
achar,596,136,111,911,461,,,,
ached,596,136,111,2009,705,,,,
aches,596,136,111,2009,3922,,,,
achoo,596,136,111,566,331,,,,
acids,596,136,785,402,3922,,,,
acidy,596,136,785,402,937,,,,
acing,596,136,785,606,102,,,,
acini,596,136,785,606,269,,,,
ackee,596,136,260,2009,1098,,,,
acker,596,136,260,2009,461,,,,
acmes,596,136,450,2009,3922,,,,
acmic,596,136,450,722,96,,,,
acned,596,136,825,2009,705,,,,
